word,count
body,483
field,482
used,479
hippo,479
rouge,479
wolf,479
pushing,478
climbing,478
id,478
bale,478
Rosa,476
ann,476
grow,475
rug,474
tire,474
Maggie,474
listening,473
Kitty,473
myself,473
eta,472
movie,471
excited,471
lobo,471
castle,470
sap,470
T,469
lei,468
glad,468
enam,468
tad,467
save,467
kora,465
weekend,464
short,463
Jess,463
nat,463
pam,463
hook,462
calling,461
goat,460
kaka,460
min,459
circus,459
pond,459
baka,459
carpet,459
string,459
Jun,459
carriage,458
exactly,458
messy,456
steady,455
tat,455
afraid,455
exciting,454
tray,454
sol,454
wonderful,454
mix,453
ana,453
gin,453
size,453
worry,453
Liz,453
Wednesday,452
living,452
goose,451
fox,451
jacket,450
maru,449
Morgan,449
couch,448
pin,448
yor,448
postman,447
fair,446
faze,446
helping,445
kept,445
rooster,445
laughing,444
lit,444
rum,443
wave,443
between,443
bot,443
slice,443
Rita,442
owl,442
prendre,442
thee,441
tap,439
B,437
bright,436
gal,436
font,436
easier,435
cleaning,435
lose,435
cough,435
mise,434
choose,433
paned,432
pile,431
Mister,431
volt,431
bobo,430
sang,430
banging,429
ca,429
ra,428
Tuesday,427
turkey,426
solo,426
office,426
ea,426
Mann,426
seeing,426
allan,426
aft,425
family,424
teacher,424
town,423
spot,423
yad,423
mud,423
smile,423
trunk,422
masse,421
plant,420
send,420
Andy,420
lamp,420
horrible,419
sharp,418
accident,418
yoghurt,418
cloth,417
kaki,413
motorcycle,413
fact,413
flat,413
beau,413
gore,413
drum,412
bud,412
Gordon,412
dado,410
ode,410
donna,409
chip,408
cracker,408
rub,408
church,408
stayed,407
surprise,407
jug,407
Alex,406
Johnny,406
wagon,404
monsieur,404
screw,404
hill,404
Thursday,403
tete,403
terrible,403
enjoy,402
nieve,402
grab,402
bom,399
Dylan,399
antes,398
cupcake,398
Sue,398
potato,398
peek,397
screwdriver,397
stap,397
trip,397
child,397
given,396
buddy,396
fet,396
pence,396
cor,396
potatoes,395
shin,394
bar,393
hap,393
showing,392
robot,392
ours,392
lemon,391
laura,391
pi,391
matin,390
difficult,390
sofa,390
chin,389
octopus,389
god,388
Matthew,388
Ti,388
drawer,387
herself,387
bees,387
thumb,387
dada,387
roto,386
hanging,386
nag,386
fut,386
stack,384
kop,384
dangerous,384
older,384
pole,383
weld,383
toru,383
row,383
Pete,383
fest,381
squeeze,381
alo,381
slow,380
none,380
Lisa,379
soy,379
Sara,379
dank,379
photo,379
racing,378
Chris,378
candy,378
ae,378
x,377
Ido,377
git,377
fishing,377
vier,376
olla,376
jumper,376
smaller,376
tasty,376
carrying,375
zat,375
crazy,375
spin,375
teach,374
hadden,374
lick,374
mica,373
safe,372
sir,371
sticking,370
sapa,370
heart,370
scratch,370
carefully,369
suit,369
straw,369
pram,368
add,368
jati,368
nun,367
Charlie,367
zip,366
God,366
whoo,366
handle,365
scary,365
sign,365
counting,365
lori,365
dom,365
frightened,364
cowboy,363
shout,362
mister,362
rainbow,361
meter,360
case,360
forgotten,360
hour,360
strange,359
film,359
stickers,359
nest,358
sal,358
maha,357
built,356
lettuce,356
peach,356
crib,356
crane,356
peanut,356
aer,356
land,355
crab,355
pupa,354
belong,353
squeak,353
susu,353
pipe,352
glue,352
kala,352
ut,351
chimney,351
Percy,350
pea,350
shark,350
shorts,349
mice,349
fuerte,348
crawl,348
puce,347
young,347
snack,346
neem,346
answer,345
match,345
bow,345
okee,345
shed,344
P,344
cot,344
icing,344
Mary,343
alt,343
mao,343
Isabel,343
bedtime,342
pound,342
Eva,342
ak,341
worm,341
kor,339
brick,339
vert,339
feeding,339
rice,338
Donald,338
regarder,338
figure,337
fill,337
ess,336
unless,336
helmet,336
longer,335
similar,335
roun,334
stell,333
excellent,333
roi,333
group,332
tweet,332
felt,332
iron,332
shining,331
