"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
111,"hamburger","word","food_drink",0.01,0.01,0.01,0.03,0.04,0.05,0.09,0.11,0.16,0.24,0.32,0.34,0.41,0.46,0.51,0.57,0.59,0.61,0.67,0.71,0.73
112,"is","word","food_drink",0.25,0.46,0.49,0.58,0.7,0.75,0.84,0.88,0.9,0.93,0.94,0.97,0.97,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.97
113,"jordbær","word","food_drink",0.02,0.06,0.08,0.16,0.19,0.24,0.35,0.47,0.47,0.59,0.66,0.75,0.79,0.8,0.84,0.84,0.89,0.91,0.93,0.92,0.91
114,"juice","word","food_drink",0.09,0.19,0.29,0.38,0.5,0.57,0.62,0.74,0.75,0.81,0.84,0.88,0.89,0.87,0.9,0.92,0.94,0.93,0.95,0.93,0.93
115,"kaffe","word","food_drink",0.06,0.07,0.15,0.22,0.32,0.38,0.48,0.56,0.61,0.71,0.74,0.81,0.83,0.84,0.89,0.89,0.93,0.93,0.94,0.94,0.93
116,"kake","word","food_drink",0.21,0.33,0.35,0.49,0.58,0.66,0.72,0.78,0.84,0.87,0.89,0.94,0.94,0.93,0.96,0.96,0.97,0.96,0.97,0.98,0.96
117,"kjeks","word","food_drink",0.19,0.31,0.43,0.45,0.6,0.64,0.72,0.79,0.8,0.84,0.88,0.91,0.92,0.92,0.95,0.94,0.97,0.96,0.97,0.98,0.95
118,"kjøtt","word","food_drink",0.02,0.03,0.04,0.08,0.13,0.18,0.24,0.36,0.39,0.5,0.56,0.61,0.68,0.7,0.75,0.77,0.8,0.85,0.86,0.89,0.9
119,"kjøttkaker","word","food_drink",0.01,0.01,0.02,0.08,0.1,0.15,0.2,0.29,0.35,0.45,0.51,0.54,0.64,0.67,0.74,0.74,0.8,0.79,0.84,0.85,0.87
120,"knekkebrød","word","food_drink",0.01,0.03,0.04,0.09,0.15,0.19,0.27,0.38,0.42,0.56,0.65,0.7,0.76,0.75,0.83,0.84,0.86,0.87,0.91,0.9,0.93
121,"kylling (food)","word","food_drink",0.01,0.02,0.06,0.08,0.16,0.2,0.28,0.35,0.42,0.5,0.59,0.65,0.7,0.72,0.78,0.79,0.86,0.86,0.88,0.92,0.9
122,"leverpostei","word","food_drink",0.01,0.06,0.06,0.14,0.23,0.27,0.36,0.49,0.53,0.64,0.73,0.76,0.81,0.8,0.86,0.87,0.9,0.9,0.93,0.96,0.95
123,"mat","word","food_drink",0.27,0.32,0.41,0.49,0.61,0.65,0.7,0.8,0.81,0.83,0.86,0.91,0.93,0.93,0.94,0.96,0.97,0.98,0.97,0.98,0.96
124,"matpakke","word","food_drink",0,0.02,0.05,0.06,0.08,0.12,0.17,0.28,0.24,0.36,0.43,0.49,0.54,0.55,0.6,0.65,0.71,0.73,0.75,0.79,0.78
125,"melk","word","food_drink",0.24,0.34,0.46,0.56,0.66,0.69,0.77,0.84,0.85,0.89,0.92,0.94,0.95,0.94,0.97,0.97,0.97,0.97,0.98,0.98,0.97
126,"melon","word","food_drink",0.03,0.01,0.05,0.08,0.11,0.15,0.2,0.27,0.33,0.45,0.52,0.56,0.62,0.62,0.69,0.71,0.76,0.77,0.78,0.79,0.8
127,"nøtter","word","food_drink",0,0,0.01,0.03,0.03,0.03,0.08,0.11,0.15,0.22,0.3,0.38,0.4,0.4,0.49,0.54,0.59,0.6,0.65,0.69,0.68
128,"nugatti","word","food_drink",0,0.01,0.03,0.03,0.04,0.04,0.08,0.1,0.13,0.16,0.21,0.23,0.27,0.28,0.35,0.36,0.4,0.41,0.45,0.43,0.53
129,"ost","word","food_drink",0.15,0.27,0.33,0.45,0.62,0.66,0.72,0.78,0.82,0.85,0.88,0.92,0.93,0.94,0.96,0.96,0.97,0.98,0.98,0.98,0.97
130,"pannekake","word","food_drink",0.02,0.04,0.08,0.11,0.18,0.22,0.35,0.44,0.48,0.59,0.66,0.71,0.79,0.8,0.84,0.88,0.9,0.9,0.93,0.93,0.94
131,"pasta","word","food_drink",0.01,0.04,0.07,0.11,0.15,0.2,0.29,0.38,0.38,0.49,0.52,0.57,0.6,0.63,0.69,0.69,0.71,0.68,0.79,0.78,0.75
132,"pizza","word","food_drink",0.05,0.11,0.2,0.27,0.35,0.44,0.56,0.6,0.72,0.76,0.81,0.85,0.88,0.89,0.91,0.93,0.95,0.95,0.96,0.96,0.96
133,"pølser","word","food_drink",0.09,0.16,0.25,0.32,0.46,0.5,0.61,0.71,0.75,0.83,0.86,0.91,0.91,0.92,0.94,0.95,0.96,0.96,0.97,0.97,0.96
134,"pommes frites","word","food_drink",0.01,0,0.01,0.02,0.05,0.05,0.08,0.11,0.16,0.21,0.25,0.32,0.34,0.36,0.45,0.41,0.52,0.52,0.56,0.62,0.63
135,"popcorn","word","food_drink",0,0,0.01,0.03,0.03,0.03,0.07,0.12,0.15,0.22,0.28,0.29,0.33,0.38,0.46,0.49,0.57,0.57,0.59,0.64,0.68
136,"poteter","word","food_drink",0.03,0.07,0.1,0.17,0.26,0.31,0.42,0.54,0.56,0.65,0.72,0.77,0.81,0.84,0.86,0.87,0.91,0.93,0.94,0.95,0.94
137,"potetgull","word","food_drink",0,0.01,0.02,0.03,0.08,0.08,0.14,0.18,0.23,0.29,0.36,0.42,0.47,0.5,0.58,0.59,0.67,0.66,0.7,0.72,0.7
138,"ris","word","food_drink",0.03,0.04,0.09,0.17,0.26,0.28,0.38,0.49,0.53,0.62,0.66,0.72,0.79,0.77,0.82,0.85,0.85,0.86,0.9,0.93,0.9
139,"ristet brød","word","food_drink",0,0,0,0.01,0.02,0.01,0.04,0.05,0.08,0.11,0.16,0.18,0.21,0.23,0.29,0.35,0.31,0.38,0.39,0.42,0.45
140,"rosiner","word","food_drink",0.03,0.09,0.15,0.26,0.33,0.38,0.48,0.58,0.61,0.69,0.72,0.79,0.82,0.81,0.86,0.86,0.9,0.91,0.92,0.93,0.93
141,"saft","word","food_drink",0.08,0.14,0.2,0.3,0.44,0.44,0.54,0.65,0.71,0.77,0.82,0.85,0.86,0.88,0.92,0.93,0.94,0.94,0.97,0.96,0.96
